user,tweet_id,datetime,url,possible_sensitive,text
817900434492768257,1509468101846319104,1648720214,https://sputniknews.com/20220330/ukrainian-forces-fired-on-border-with-russia-hours-before-russian-military-op-began-eyewitness-says-1094335421.html,0.0,"Ukrainian Forces Fired on Border With Russia Hours Before Russian Military Op Began, Eyewitness Says https://t.co/msSu2ZaWMR"
101386226,1509276870990172161,1648674621,https://sputniknews.com/20220330/ukrainian-forces-fired-on-border-with-russia-hours-before-russian-military-op-began-eyewitness-says-1094335421.html,0.0,"Ukrainian Forces Fired across Russian Border against Russia Hours Before Russian Military Op Began, begging Russia to respond, Eyewitness Says https://t.co/yYFywB6s6Y"
336246602,1509224831409041408,1648662214,https://sputniknews.com/20220330/ukrainian-forces-fired-on-border-with-russia-hours-before-russian-military-op-began-eyewitness-says-1094335421.html,0.0,"Ukrainian Forces Fired on Border With Russia Hours Before Russian Military Op Began, Eyewitness Says https://t.co/j3W3wZ7oKg"
34262462,1509210360422678534,1648658764,http://dlvr.it/SMfpT6,0.0,"Ukrainian Forces Fired on #Border With #Russia Hours Before Russian Military Op Began, #Eyewitness Says https://t.co/VadtfHBwP2"
832107584467275776,1506970347123486725,1648124703,https://www.rt.com/news/552537-eu-share-intelligence-ukraine/,0.0,"For once I agree with Nuland:
Fuck the EU!

https://t.co/rXeAwHucj2 https://t.co/oo2HwtxThi"
200838452,1506726048259530760,1648066458,https://www.rt.com/news/552537-eu-share-intelligence-ukraine/,0.0,EU to share satellite intelligence with Ukraine – media — RT World News https://t.co/GBiSOnPLpr
30701862,1506680066998218753,1648055495,https://www.rt.com/news/552537-eu-share-intelligence-ukraine/,0.0,EU to share satellite intelligence with Ukraine – media https://t.co/NoOi0tmQhX
1179516951707754497,1506659927095484419,1648050693,https://www.rt.com/news/552537-eu-share-intelligence-ukraine/,0.0,EU to share satellite intelligence with Ukraine – media — RT World News https://t.co/Z7Su27oXXV
898775126,1506643871731699722,1648046865,https://www.rt.com/news/552537-eu-share-intelligence-ukraine/,0.0,"EU to share satellite intelligence with Ukraine – media

A year-long agreement with Kiev has been approved by the bloc, Bloomberg sources claim. https://t.co/RxYrJOpqkK"
934910576668557313,1506638000268234761,1648045465,https://www.rt.com/news/552537-eu-share-intelligence-ukraine/,0.0,Sounds like a direct act of war by a #NATO members and the # EU as a whole against #Russia. Russia could now consider those satellites to be legitimate targets just like the arms shipments. #EU to share satellite intelligence with #Ukraine – media https://t.co/GSQymCxuD2
43403044,1506636945652211715,1648045214,https://www.rt.com/news/552537-eu-share-intelligence-ukraine/,0.0,EU to share satellite intelligence with Ukraine – media — RT World News https://t.co/Z0fVnlyuT1
1367609146984583168,1506632802619600897,1648044226,https://www.rt.com/news/552537-eu-share-intelligence-ukraine/carefully,0.0,EU to share satellite intelligence with Ukraine – media — RT World News https://t.co/TwdPTcZrSx may start blowing satelites violating already russian air space
32841180,1506626524916629514,1648042729,https://www.rt.com/news/552537-eu-share-intelligence-ukraine/,0.0,"EU to share satellite intelligence with Ukraine – media — (this, together with arms provisions, means, basically, a declaration of war against Russia..) https://t.co/SPNB8cnkov #CapeTown #SouthAfrica"
2820027419,1506621490405552139,1648041529,https://www.rt.com/news/552537-eu-share-intelligence-ukraine/,0.0,EU to share satellite intelligence with Ukraine – media — RT World News https://t.co/7rHARlsEdU
2192174179,1506612180480888832,1648039309,https://www.rt.com/news/552537-eu-share-intelligence-ukraine/,0.0,EU to share satellite intelligence with Ukraine – media — RT World News https://t.co/rK7uW7yXks a serious escalation
189090002,1506597524009893892,1648035815,https://www.rt.com/news/552537-eu-share-intelligence-ukraine/,0.0,EU to share satellite intelligence with Ukraine – media https://t.co/9qndLBju4x
177049815,1506597375590215687,1648035780,https://www.rt.com/news/552537-eu-share-intelligence-ukraine/,0.0,Sad!! You dump them - no you throw them under the bus without armaments- what can they do with the intelligence without arms ??    👉🏾EU to share satellite intelligence with Ukraine – media https://t.co/UdJIMBBvHq #
377980441,1506591884839424008,1648034471,https://www.rt.com/news/552537-eu-share-intelligence-ukraine/,0.0,"Expecting the rest of the world to believe it's not been happening till now?
Expecting no Russian counter to this? Historically the fight against the Nazi is more important

EU to share satellite intelligence with Ukraine – media — RT World News https://t.co/jSYhep0xBS"
